014050,1,0,"8 bit test",
014051,1,0,"8bit test2",
01410,1,0,"32bit test",
01420,2,0,locator1,
01421,2,0,locator2,
01422,2,0,locator3,
01494,2,0,Water Tank Top Level,
01495,2,0,Water Tank Bottom Level,
01496,2,0,Mixing Tank Top Level,
01497,2,0,Mixing Tank Bottom Level,
01498,3,0,EE_TIMER1_ON,
01500,3,0,EE_TIMER1_OFF,
01501,2,0,daily flag etc,
01502,3,0,EE_TIMER2_ON,
01504,3,0,EE_TIMER2_OFF,
01506,2,0,daily flag etc,
01507,3,0,EE_TIMER3_ON,
01509,3,0,EE_TIMER3_OFF,
01511,2,0,daily flag etc,
01512,3,0,EE_TIMER4_ON,
01514,3,0,EE_TIMER4_OFF,
01516,2,0,daily flag etc,

01535,2,0,plug 1 settings,
01536,2,0,plug 2 settings,
01537,2,0,plug 3 settings,
01538,2,0,plug 4 settings,
01539,2,0,plug 5 settings,
01540,2,0,plug 6 settings,
01541,2,0,plug 7 settings,
01542,2,0,plug 8 settings,
01546,2,652,"button ranges 1",
01547,2,1063,"button ranges 2",
01548,2,1074,"button ranges 3",
01549,2,1546,"button ranges 4",
01550,2,1556,"button ranges 5",
01551,2,1899,"button ranges 6",
01552,2,1909,"button ranges 7",
01553,2,2126,"button ranges 8",
01555,2,0, WP1 timeout,
015560,1,111," WP1 rules",
015561,1,123," watering volume (for mixing)",
01557,3,12345,"WP1 trigger interval",
01559,3,1410100000," WP1 start time (unixtime)",
01561,3,1410510630," WP1 end (last time watering could start)",
01563,3,0," start time of previous watering",
01565,2,0," WP1 flags",
01567,2,0, WP2 timeout,
015680,1,0," WP2 rules",
015681,1,0," watering wolume",
01569,3,0,"WP2 trigger interval",
01571,3,0," WP2 start time (unixtime)",
01573,3,0," WP2 end (last time watering could start)",
01575,3,0," WP2 start time of previous watering",
01577,2,0," WP2 flags",
01579,2,0, WP3 timeout,
015800,1,0," WP-3 rules",
015801,1,0," WP3 watering wolume",
01581,2,0," WP3 trigger interval"
01583,3,0," WP3 start time (unixtime)",
01585,3,0," WP3 end (last time watering could start)",
01587,3,0," WP3 start time of previous watering",
01589,2,0," WP3 flags",
01605,2,2," FMP1 dosing pump number",
01606,2,20," FMP1 dosiing time (in seconds)",
016070,1,0," FMP12WP linkkk number",
016071,1,1," FMP1 triggering frequency (each Nth WP run)",
01608,2,20," FMP1 aftermix time",
01610,2,0," FMP2 dosing pump number",
01611,2,0," FMP2 dosiing time (in seconds)",
016120,1,0," FMP22WP linkkk number",
016121,1,0," FMP2 triggering frequency (each Nth WP run)",
01613,2,0," FMP2 aftermix time",
01615,2,0," FMP3 dosing pump number",
01616,2,0," FMP3 dosiing time (in seconds)",
016170,1,0," FMP32WP linkkk number",
016171,1,0," FMP3 triggering frequency (each Nth WP run)",
01618,2,0," FMP3 aftermix time",

